Topic,Subject,Title,District 01 Estimate,District 01 MOE,District 02 Estimate,District 02 MOE,District 03 Estimate,District 03 MOE,District 04 Estimate,District 04 MOE,District 05 Estimate,District 05 MOE,District 06 Estimate,District 06 MOE,District 07 Estimate,District 07 MOE,District 08 Estimate,District 08 MOE,District 09 Estimate,District 09 MOE,District 10 Estimate,District 10 MOE,District 11 Estimate,District 11 MOE,District 12 Estimate,District 12 MOE,District 13 Estimate,District 13 MOE
People,Disability Status of the Civilian Noninstitutionalized Population,Under 18 years,160019,(+/- 3301 ),216849,(+/- 7059 ),167281,(+/- 3435 ),186943,(+/- 5775 ),160568,(+/- 1335 ),172042,(+/- 3842 ),160830,(+/- 3471 ),187220,(+/- 3367 ),199481,(+/- 4704 ),160291,(+/- 3456 ),144204,(+/- 3252 ),204882,(+/- 3747 ),171873,(+/- 4490 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,6867,(+/- 1649 ),8385,(+/- 1586 ),9783,(+/- 1880 ),6831,(+/- 1485 ),6802,(+/- 1412 ),9216,(+/- 1556 ),8564,(+/- 1737 ),9966,(+/- 1700 ),8182,(+/- 1619 ),5861,(+/- 1254 ),7144,(+/- 1550 ),5338,(+/- 956 ),9129,(+/- 1848 )
People,Disability Status of the Civilian Noninstitutionalized Population,18 to 64 years,459609,(+/- 6356 ),489296,(+/- 8372 ),420994,(+/- 4737 ),564708,(+/- 7807 ),454407,(+/- 2707 ),457807,(+/- 5597 ),462521,(+/- 4929 ),442366,(+/- 4595 ),462691,(+/- 6741 ),460096,(+/- 4681 ),435011,(+/- 5015 ),559964,(+/- 5377 ),469224,(+/- 6838 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,62536,(+/- 4293 ),45647,(+/- 3587 ),70915,(+/- 4584 ),40259,(+/- 3575 ),50177,(+/- 3924 ),55999,(+/- 3904 ),71181,(+/- 4792 ),56460,(+/- 3634 ),52085,(+/- 3596 ),60160,(+/- 4137 ),67043,(+/- 4433 ),37600,(+/- 3186 ),52574,(+/- 3677 )
People,Disability Status of the Civilian Noninstitutionalized Population,65 years and over,113595,(+/- 2988 ),102695,(+/- 3145 ),119869,(+/- 2578 ),87071,(+/- 3186 ),126427,(+/- 1393 ),125503,(+/- 2458 ),143979,(+/- 2116 ),111020,(+/- 1722 ),104752,(+/- 2354 ),130791,(+/- 2992 ),161440,(+/- 2814 ),79917,(+/- 2120 ),119594,(+/- 2586 )
People,Disability Status of the Civilian Noninstitutionalized Population,With a disability,46515,(+/- 2696 ),39537,(+/- 2697 ),45406,(+/- 2791 ),27562,(+/- 1972 ),41985,(+/- 2343 ),41793,(+/- 2306 ),52825,(+/- 3224 ),41472,(+/- 2835 ),37613,(+/- 2313 ),45973,(+/- 3045 ),58316,(+/- 3537 ),24439,(+/- 1812 ),43446,(+/- 2787 )
People,Residence 1 Year Ago,Population 1 year and over,741462,(+/- 8145 ),809899,(+/- 12149 ),744372,(+/- 5637 ),837906,(+/- 10971 ),744376,(+/- 2810 ),755859,(+/- 7292 ),771882,(+/- 6202 ),764005,(+/- 5610 ),769168,(+/- 8497 ),751904,(+/- 6010 ),743752,(+/- 5345 ),837856,(+/- 7514 ),759966,(+/- 8243 )
People,Residence 1 Year Ago,Same house,617371,(+/- 10493 ),699690,(+/- 12852 ),602843,(+/- 9553 ),661181,(+/- 12683 ),647339,(+/- 7727 ),665835,(+/- 10199 ),657442,(+/- 11867 ),642697,(+/- 8657 ),672210,(+/- 9777 ),639921,(+/- 9199 ),644485,(+/- 8585 ),673148,(+/- 11025 ),636102,(+/- 11123 )
People,Residence 1 Year Ago,Different house in the U.S.,119731,(+/- 8097 ),106371,(+/- 9635 ),137319,(+/- 8296 ),166506,(+/- 10761 ),94654,(+/- 7405 ),88175,(+/- 7856 ),111300,(+/- 10319 ),116944,(+/- 7884 ),93961,(+/- 7724 ),111015,(+/- 7785 ),97651,(+/- 7642 ),157331,(+/- 9964 ),120910,(+/- 9369 )
People,Residence 1 Year Ago,Same county,66214,(+/- 6574 ),50891,(+/- 6942 ),59714,(+/- 6411 ),94752,(+/- 7739 ),49633,(+/- 5775 ),51162,(+/- 6314 ),56002,(+/- 8085 ),55383,(+/- 5476 ),49299,(+/- 6570 ),57995,(+/- 6087 ),51539,(+/- 6489 ),93593,(+/- 8137 ),70555,(+/- 6985 )
People,Residence 1 Year Ago,Different county,53517,(+/- 5215 ),55480,(+/- 6072 ),77605,(+/- 6656 ),71754,(+/- 6988 ),45021,(+/- 4650 ),37013,(+/- 4622 ),55298,(+/- 6252 ),61561,(+/- 6235 ),44662,(+/- 5743 ),53020,(+/- 5670 ),46112,(+/- 4621 ),63738,(+/- 6644 ),50355,(+/- 5470 )
People,Residence 1 Year Ago,Same state,32456,(+/- 4597 ),32836,(+/- 5037 ),30289,(+/- 4733 ),40697,(+/- 5529 ),29144,(+/- 3572 ),24368,(+/- 3847 ),34858,(+/- 4711 ),29900,(+/- 3757 ),24236,(+/- 4520 ),29415,(+/- 3847 ),24375,(+/- 3593 ),22115,(+/- 3477 ),29551,(+/- 4546 )
People,Residence 1 Year Ago,Different state,21061,(+/- 2959 ),22644,(+/- 3940 ),47316,(+/- 6237 ),31057,(+/- 3494 ),15877,(+/- 3080 ),12645,(+/- 2694 ),20440,(+/- 3351 ),31661,(+/- 5067 ),20426,(+/- 4661 ),23605,(+/- 4347 ),21737,(+/- 3148 ),41623,(+/- 6144 ),20804,(+/- 3641 )
People,Residence 1 Year Ago,Abroad,4360,(+/- 1432 ),3838,(+/- 1958 ),4210,(+/- 1348 ),10219,(+/- 2844 ),2383,(+/- 1009 ),1849,(+/- 1142 ),3140,(+/- 1099 ),4364,(+/- 1229 ),2997,(+/- 1064 ),968,(+/- 515 ),1616,(+/- 834 ),7377,(+/- 2478 ),2954,(+/- 1494 )

